,Lucentis_Dist,Eylea_Dist,Multiple_dist
0,75.0,46.0,70.04347826086956
1,77.0,70.0,64.0
2,81.18181818181819,66.04651162790698,72.8125
3,82.5,52.5,89.58823529411765
4,56.1,46.0,86.875
5,80.0,87.6,59.40909090909091
6,80.83333333333333,64.0,69.94444444444444
7,79.0,72.33333333333333,66.11363636363636
8,76.0,71.8,80.0
9,76.0,80.28571428571429,79.75
10,79.0,35.0,74.5
11,68.55555555555556,67.0,81.09677419354838
12,80.33333333333333,45.833333333333336,67.95238095238095
13,91.0,78.66666666666667,79.82352941176471
14,92.2,40.5,76.2
15,35.0,59.5,77.4
16,80.0,80.0,78.61111111111111
17,72.0,70.0,80.0
18,84.16666666666667,81.87096774193549,70.21428571428571
19,70.33333333333333,70.85714285714286,58.111111111111114
20,75.2,80.0,77.0
21,82.5,76.0,65.65384615384616
22,74.2,,76.44444444444444
23,63.9375,,84.75
24,77.53846153846153,,79.65217391304348
25,,,79.97368421052632
26,,,82.0
27,,,79.55555555555556
28,,,78.2
29,,,62.0
30,,,81.7
31,,,36.72727272727273
32,,,68.92592592592592
33,,,72.71428571428571
34,,,71.02941176470588
35,,,49.0625
36,,,59.0
37,,,66.66666666666667
38,,,62.0
39,,,45.0
40,,,82.6923076923077
41,,,78.25
42,,,72.0
43,,,80.71428571428571
44,,,44.121212121212125
45,,,75.11111111111111
46,,,73.6
