Interval,Lucentis,Eylea,Multiple
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.2407318247472316
3,0.718132854578097,0.6420545746388443,1.5406836783822822
4,22.44165170556553,24.879614767255216,52.52768415984593
5,1.615798922800718,2.889245585874799,3.466538276360135
6,16.965888689407542,18.780096308186195,19.932595089070777
7,1.7953321364452424,4.654895666131622,1.82956186807896
8,15.439856373429084,22.150882825040128,8.088589311506981
9,2.5134649910233393,0.4815409309791332,0.6740491092922485
10,13.644524236983843,12.359550561797752,3.8517091959557055
11,2.064631956912029,0.9630818619582664,0.5777563793933558
12,21.095152603231597,11.075441412520064,6.596051998074145
13,0.718132854578097,0.6420545746388443,0.09629272989889263
14,0.9874326750448833,0.16051364365971107,0.4333172845450169
15,0.0,0.16051364365971107,0.04814636494944632
16,0.0,0.16051364365971107,0.04814636494944632
